danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.444,0.421,D#,-12.598,major,0.0358,0.837,1.42e-4,0.262,0.47,141.274,2373nwcpoD7IXHmqQBmLDl,177667,4,D# major
0.311,0.164,F,-16.886,major,0.0348,0.834,0,0.408,0.217,129.918,21uQfBO6WLx1svMOaqEDS3,179867,3,F major
0.208,0.115,C,-20.685,major,0.0355,0.897,0.321,0.138,0.114,183.794,5pCT5NjhRkMqiBFXzU3fha,163136,4,C major
0.365,0.319,G#,-8.701,major,0.032,0.749,0,0.654,0.756,188.182,3JxFTJnpbbK9ymf5ITGB7X,154347,4,G# major
0.703,0.685,C#,-5.86,major,0.0462,0.252,0,0.165,0.962,81.02,7hxha93ckBwTck8s83Pu9b,118867,4,C# major
0.373,0.401,A#,-10.251,major,0.0301,0.4,0,0.128,0.605,103.654,1nKJTEsNJZxq021CSTRQlw,149867,4,A# major
0.502,0.404,C,-14.014,major,0.0269,0.72,7.79e-4,0.273,0.472,112.349,4V3boudADfZ0UpKMKq2E7m,136803,3,C major
0.745,0.784,C,-7.137,major,0.0479,0.127,2.39e-6,0.0777,0.822,116.929,4QQy4FCwBCZp5v8gVNasSr,176013,4,C major
0.616,0.706,G,-5.411,major,0.0252,0.478,1.74e-5,0.67,0.639,95.023,2xWnTOpJHPFRxyN3cgoCks,153305,4,G major
0.504,0.218,A#,-16.392,major,0.0728,0.863,0,0.106,0.394,105.218,0FU3ehy4N2AtaWUugKnuNR,206480,4,A# major
0.493,0.484,D#,-8.562,major,0.0277,0.144,0,0.178,0.716,116.901,2KCEeYS6XrWKV5CR2L1vlb,165173,4,D# major
0.486,0.519,F,-9.641,major,0.0264,0.476,0,0.303,0.734,101.06,4CCYTTdyR4fnVPGkA1941c,123267,4,F major
0.806,0.489,C,-12.898,major,0.104,0.0544,2.88e-5,0.0696,0.899,123.753,41XPLxAYGkZ8xeUHqDmKtA,162160,4,C major
0.334,0.474,F,-11.959,minor,0.0373,0.586,0,0.144,0.635,118.248,0aE88kbyvVtBx9lcyv95fe,191200,3,F minor
0.366,0.644,F#,-6.411,minor,0.0479,0.27,0.00589,0.858,0.647,73.826,1bSAEXgqxO0NYgRlSprzxy,180880,4,F# minor
